Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-01 00:00:00+05:30,1274.9006856426909,1287.8940202608817,1271.2447008145452,1279.69287109375,4030540,0.0,0.0
2024-01-02 00:00:00+05:30,1277.099135940161,1291.920402508132,1271.1706293129728,1290.2900390625,7448800,0.0,0.0
2024-01-03 00:00:00+05:30,1289.4503036849235,1301.3073179716814,1273.2456933698636,1276.2593994140625,9037536,0.0,0.0
2024-01-04 00:00:00+05:30,1278.5811975278393,1289.376067708453,1274.1842702494187,1282.8546142578125,9612778,0.0,0.0
2024-01-05 00:00:00+05:30,1285.9424160498672,1294.3165279752034,1283.521657474919,1288.3138427734375,8086406,0.0,0.0
2024-01-08 00:00:00+05:30,1289.4502625359673,1300.2944657165137,1269.1698042070248,1278.26025390625,7734652,0.0,0.0
2024-01-09 00:00:00+05:30,1284.5096770702141,1287.8691880410897,1273.2454911635218,1274.8758544921875,5403074,0.0,0.0
2024-01-10 00:00:00+05:30,1273.146698836737,1313.6581576278165,1272.1833407081513,1309.26123046875,11102740,0.0,0.0
2024-01-11 00:00:00+05:30,1313.6583733689063,1346.2651626289091,1312.6702888458758,1343.6961669921875,23725852,0.0,0.0
2024-01-12 00:00:00+05:30,1343.6960023683716,1356.9609630954171,1329.714583957277,1354.3919677734375,15012164,0.0,0.0
2024-01-15 00:00:00+05:30,1358.616069177015,1379.8104316098675,1349.723309451493,1377.51318359375,8610594,0.0,0.0
2024-01-16 00:00:00+05:30,1373.4126778584214,1379.6623844587446,1354.1697570573224,1358.24560546875,9069024,0.0,0.0
2024-01-17 00:00:00+05:30,1343.30084717423,1369.7568331827044,1338.8791932605309,1345.35107421875,12197382,0.0,0.0
2024-01-18 00:00:00+05:30,1335.2972997496222,1354.663730119792,1335.1490629645289,1351.6500244140625,10279438,0.0,0.0
2024-01-19 00:00:00+05:30,1359.6041759840746,1359.6041759840746,1342.8067406703178,1351.156005859375,10422704,0.0,0.0
2024-01-23 00:00:00+05:30,1355.4048574857818,1355.4048574857818,1306.791150318716,1312.7442626953125,20055420,0.0,0.0
2024-01-24 00:00:00+05:30,1319.3151054787043,1333.4200358723897,1308.1498229720294,1327.862060546875,21919128,0.0,0.0
2024-01-25 00:00:00+05:30,1326.9479158139593,1347.895377764627,1319.2902616038493,1336.9522705078125,11808872,0.0,0.0
2024-01-29 00:00:00+05:30,1348.241269998228,1435.192704047216,1343.9678528779282,1430.7957763671875,23893438,0.0,0.0
